X,Y,date
32.6000000000001,13.516666667,1986-12-05 00:00:00+00:00
32.591666667,13.441666667,1986-12-05 00:00:00+00:00
33.5225,14.408888889,1986-12-05 00:00:00+00:00
37.266666667,19.4,1986-01-23 00:00:00+00:00
37.4,19.0000000000001,1986-01-23 00:00:00+00:00
-13.707777778,17.9866666670001,1986-12-01 00:00:00+00:00
38.45,17.816666667,1986-07-05 00:00:00+00:00
39.1269444440001,16.409166667,1986-07-15 00:00:00+00:00
38.8000000000001,15.8000000000001,1986-07-15 00:00:00+00:00
39.0000000000001,15.5000000000001,1986-07-15 00:00:00+00:00
39.216666667,16.216666667,1986-07-15 00:00:00+00:00
39.4166666670001,15.7,1986-07-15 00:00:00+00:00
39.3000000000001,15.9166666670001,1986-07-15 00:00:00+00:00
39.2,16.2,1986-07-15 00:00:00+00:00
39.2,15.5000000000001,1986-07-15 00:00:00+00:00
39.6250000000001,15.2491666670001,1986-07-15 00:00:00+00:00
39.066666667,15.1833333330001,1986-07-15 00:00:00+00:00
39.066666667,13.8833333330001,1986-07-15 00:00:00+00:00
40.1000000000001,14.6666666670001,1986-07-15 00:00:00+00:00
32.9833333330001,14.2500000000001,1986-12-11 00:00:00+00:00
39.1666666670001,15.833333333,1986-12-30 00:00:00+00:00
30.766666667,14.1666666670001,1986-09-25 00:00:00+00:00
39.45,14.333333333,1986-07-15 00:00:00+00:00
36.5000000000001,22.4166666670001,1986-02-05 00:00:00+00:00
36.3833333330001,22.066666667,1986-04-25 00:00:00+00:00
36.45,22.35,1986-04-25 00:00:00+00:00
36.3833333330001,22.066666667,1986-05-05 00:00:00+00:00
36.45,22.35,1986-05-05 00:00:00+00:00
28.6666666670001,25.6666666670001,1986-11-11 00:00:00+00:00
38.96,15.5069444440001,1986-06-11 00:00:00+00:00
40.7,21.466666667,1986-11-25 00:00:00+00:00
38.766666667,25.9333333330001,1986-04-01 00:00:00+00:00
36.3833333330001,22.066666667,1986-04-25 00:00:00+00:00
36.45,22.35,1986-04-25 00:00:00+00:00
36.3833333330001,22.066666667,1986-05-05 00:00:00+00:00
36.45,22.35,1986-05-05 00:00:00+00:00
28.6666666670001,25.6666666670001,1986-11-11 00:00:00+00:00
32.3000000000001,13.65,1986-12-09 00:00:00+00:00
32.1000000000001,14.1666666670001,1986-12-12 00:00:00+00:00
31.9,14.6,1986-12-13 00:00:00+00:00
32.1166666670001,13.816666667,1986-12-13 00:00:00+00:00
32.15,13.8000000000001,1986-12-13 00:00:00+00:00
33.1666666670001,13.583333333,1986-12-13 00:00:00+00:00
-13.4549999999999,18.080277778,1986-12-13 00:00:00+00:00
40.266666667,20.15,1986-01-13 00:00:00+00:00
37.270833333,25.026388889,1986-02-19 00:00:00+00:00
37.270833333,25.026388889,1986-02-22 00:00:00+00:00
39.035,22.8036111110001,1986-02-15 00:00:00+00:00
4.41083333300003,17.3719444440001,1986-10-25 00:00:00+00:00
36.085833333,17.539722222,1986-11-25 00:00:00+00:00
37.8666666670001,18.5000000000001,1986-11-25 00:00:00+00:00
37.783333333,18.45,1986-11-25 00:00:00+00:00
